sparsity;ti;vi;tl;vl;ta;va;lr;tl_mean;tl_std;vl_mean;vl_std;ta_mean;ta_std;va_mean;va_std
0.1;['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7415.jpg', 'data/images/QS_7510.jpg'];[0.0011063419515267015, 0.0010496790055185556, 0.0013581376988440752, 0.0013249636394903064, 0.0012102657929062843, 0.0012700981460511684, 0.0012763384729623795, 0.0013556665508076549, 0.0011493866331875324, 0.0012181857600808144];[8.168433123501018e-05, 8.072047785390168e-05, 6.733476038789377e-05, 3.98220909119118e-05, 8.140487625496462e-05, 7.70185433793813e-05, 8.132190851029009e-05, 0.00012220340431667864, 0.00012127349327784032, 0.0001224405423272401];[0.09305238985750375, -0.031021342857206813, 0.5815727989843442, 0.5289787755373616, 0.38656286512410243, 0.3719127611344175, 0.5768040709866697, 0.5777780628895162, 0.2409194505618294, 0.2682537799934588];[-51.02868813192125, -49.63916467086684, -80.68925161407611, -5988344726561.5, -49.23155535312795, -60.95970557520097, -49.186477223531824, -23.65428829997006, -23.29478548775052, -23.642801247440957];0.01;0.0012319063651375472;9.989130187427285e-05;8.752244284551124e-05;2.551586896191332e-05;0.35948136122119967;0.2048610980138524;-598834472697.2827;1796503417954.7388
0.1;['data/images/1.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg', 'data/images/4.jpg'];[0.0008884371491149068, 0.0006079282029531896, 0.0006415157113224268, 0.0006488318322226405, 0.0007594231865368783, 0.0005676712607964873, 0.0007173788035288453, 0.0004858938045799732, 0.0006446015904657543, 0.0006770285544916987];[0.0015247532865032554, 0.0013754828833043575, 0.0014620628207921982, 0.0013757373671978712, 0.0012942859902977943, 0.0017151270294561982, 0.001321945688687265, 0.0016263022553175688, 0.0015319489175453782, 0.0015565092908218503];[-0.03232762810354961, -1.2327784773536217, -0.6809319727747687, -0.6002124966178233, -0.09002825528606673, -1.18847043164901, -0.49704062502650626, -2.232506486212532, -1.137210630098204, -0.7717126157254088];[0.9170613319069865, 0.8142400864892482, 0.9356284156602279, 0.8021757240288737, 0.7681142443390507, 0.9796681846427246, 0.7898785381331617, 0.9462117332967986, 0.9297705219420266, 0.9502327336772036];0.01;0.0006638710096012801;0.00010380438143733342;0.0014784155529923737;0.0001299254820430132;-0.8463219618847491;0.6101305300313579;0.8832981514116304;0.07556986944460944
0.1;['data/images/1.jpg', 'data/images/2.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/4.jpg', 'data/images/QS_7510.jpg'];[0.0009098077425733209, 0.0008266550721600652, 0.000996201764792204, 0.0008870769524946809, 0.0010675988160073757, 0.0010824804194271564, 0.0011000039521604776, 0.0008304953807964921, 0.0008823593379929662, 0.0007651034975424409];[0.00048709605471231043, 0.0007027193787507713, 0.0007977337227202952, 0.0007956498884595931, 0.0005419104127213359, 0.000563533918466419, 0.0007704179733991623, 0.0009549719979986548, 0.0007189235184341669, 0.0006421196740120649];[0.003950496846365392, -0.16350175049375282, 0.13667196324647257, -0.291459926222871, 0.15546473816170914, 0.3308407712005117, 0.4003488824291125, -0.16684535062857897, -0.2600189836337503, -0.5247247177810299];[-1.826535204289017, -0.7363148480324768, -0.44160763506320966, -0.32092400377325014, -1.5920359735506437, -1.5976355455199247, -0.6650098730255909, -0.09860869136984252, -0.9742143274330506, -0.9099474441811446];0.01;0.000934778293594718;0.0001129297820814926;0.0006975076539674774;0.00013463547088863058;-0.03792738768758117;0.2794063485843622;-0.916283354623815;0.5564823139551132
0.25;['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7415.jpg', 'data/images/QS_7510.jpg'];[0.003429022617638111, 0.0027839774265885353, 0.0026144296862185, 0.0029358058236539364, 0.0029826993122696877, 0.002501149196177721, 0.0022851943504065275, 0.003004845231771469, 0.003480970859527588, 0.0025528809055685997];[6.464994658017531e-05, 0.00010620980174280703, 0.00033760053338482976, 0.00014777766773477197, 5.4333671869244426e-05, 2.6844283638638444e-05, 0.00010148932778974995, 0.0001871857966762036, 6.709657463943586e-05, 0.00026909762527793646];[0.6928807229067961, 0.5971229939099596, 0.7838601290259117, 0.6908006477745317, 0.6032571423290332, 0.8350110748252855, 0.8233771394095296, 0.6610705855571715, 0.5814138190028368, 0.7402747365655737];[-33.62162391037242, -15.816196155739636, -2.796707066083112, -10.317259864413307, -49.97072028027676, -4586235351561.5, -21.48490656261321, -7.105524311485993, -35.908275537581794, -3.9494492325675763];0.01;0.0028570975409820676;0.0003702257248534422;0.00013622852293337928;9.571689717587511e-05;0.7009068991306628;0.08817744187270402;-458623535174.2471;1375870605462.4177
0.25;['data/images/1.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg', 'data/images/4.jpg'];[0.0016827741637825966, 0.0012920002918690443, 0.0015348417218774557, 0.0018184604123234749, 0.001434576348401606, 0.0014458377845585346, 0.0015045094769448042, 0.001180904684588313, 0.0013430099934339523, 0.0012970344396308064];[0.003167852759361267, 0.0032800352200865746, 0.0031563108786940575, 0.002837668638676405, 0.0038403216749429703, 0.0034357397817075253, 0.0038083759136497974, 0.0036210697144269943, 0.0035671719815582037, 0.003225242719054222];[0.7722898872431535, 0.3726376219024954, 0.5497972929916044, 0.9394089469161486, 0.5922950467095105, 0.4350451747564795, 0.47115821743660624, -0.11906305777334425, 0.516795431987506, 0.5275912585338922];[0.7670560885422621, 0.833412440610014, 0.7521108975143241, 0.620729873802687, 0.9163314635066601, 0.8675520833232462, 0.906835883613102, 0.8520110762455512, 0.8373149751412532, 0.7873622660164477];0.01;0.0014533949317410589;0.00018233972846941283;0.0033939789282158017;0.0003021278037588301;0.5057955820704053;0.2614266341303461;0.8140717048315548;0.08271649118357804
0.25;['data/images/1.jpg', 'data/images/2.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/4.jpg', 'data/images/QS_7510.jpg'];[0.002704440150409937, 0.0020561174023896456, 0.0022470462135970592, 0.0025718100368976593, 0.001715867780148983, 0.0021918201819062233, 0.001725917449221015, 0.0021951375529170036, 0.0016077946638688445, 0.0021022330038249493];[0.0014372277073562145, 0.0014807198895141482, 0.0017579419072717428, 0.0013397297589108348, 0.0014429972507059574, 0.0017767018871381879, 0.0018394927028566599, 0.0015311359893530607, 0.0012561940820887685, 0.001948785618878901];[0.8202539116132246, 0.7713550020411865, 0.8563585853231681, 0.8249706211597612, 0.40519327965392515, 0.9474111060136446, 0.49662614191901944, 0.9386356796825779, 0.4664250910984358, 0.8648060398907822];[0.3163461687012852, 0.2760647763869386, 0.44406623675631496, 0.16246592908378288, 0.12362235682108613, 0.5963946756195788, 0.5776276921657284, 0.3998609712365795, -0.1527725744133297, 0.45303442603408206];0.01;0.002111818443518132;0.00034019885621599095;0.0015810926794074475;0.00022083031602906358;0.7392035458395726;0.19297628435359923;0.3196710658392047;0.21704194307991453
0.5;['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7415.jpg', 'data/images/QS_7510.jpg'];[0.00446438929066062, 0.005921902600675821, 0.0053745657205581665, 0.005317905452102423, 0.004240106791257858, 0.005010097287595272, 0.004067945759743452, 0.004770510829985142, 0.004511972889304161, 0.004786679055541754];[0.00019846268696710467, 0.000398955715354532, 8.345626702066511e-05, 0.00020368820696603507, 8.54168611112982e-05, 0.0001699453277979046, 4.665058804675937e-05, 0.00014407496200874448, 0.0007460843189619482, 8.764254744164646e-05];[0.7206284279045325, 0.9472263109708319, 0.83757379475274, 0.9873484054327726, 0.7788179716926676, 0.9865390388265689, 0.7605133933993189, 0.8204867094066501, 0.8680744796405249, 0.7281399400732126];[-11.879254121357643, -4.348698879497153, -52.01287572928841, -11.75762968656965, -50.19706962245592, -17.174727242393338, -6330605468749.0, -21.272121976289863, -1.0449577652204094, -52.309541037059184];0.01;0.004846607567742467;0.0005408752652700045;0.00021643774816766382;0.0002004964589572022;0.843534847209982;0.09620613838890785;-633060546897.0997;1899181640617.3
0.5;['data/images/1.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg', 'data/images/4.jpg'];[0.003538763150572777, 0.002402618760243058, 0.0030261967331171036, 0.0020987612660974264, 0.0021978910081088543, 0.0035142689011991024, 0.002560405759140849, 0.002678958233445883, 0.001752323703840375, 0.002897883765399456];[0.006651523523032665, 0.007561525795608759, 0.006878800690174103, 0.006191152613610029, 0.007298964075744152, 0.006436432711780071, 0.006947164423763752, 0.007701130583882332, 0.006255787331610918, 0.007303175516426563];[0.8523976428605599, 0.8856875598700009, 0.9290595613828769, 0.6201518061408808, 0.9691767264149558, 0.9189280433223611, 0.5005299720812761, 0.8810631312781734, 0.3412039181046075, 0.7950361139206069];[0.9593270119398117, 0.9385110541055554, 0.9754220157007467, 0.9940285084704026, 0.8538645960532225, 0.9302497776452644, 0.9621798655135207, 0.8136813962588174, 0.957372280812495, 0.9532254144217717];0.01;0.0026668071281164885;0.0005586733230655124;0.006922565726563334;0.0005091994662741664;0.7693234475376299;0.19980384467111312;0.9337861920921607;0.05348163577219769
0.5;['data/images/1.jpg', 'data/images/2.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/4.jpg', 'data/images/QS_7510.jpg'];[0.003983642440289259, 0.004280834458768368, 0.004511594772338867, 0.0039666020311415195, 0.003263372927904129, 0.004459889605641365, 0.0043435534462332726, 0.00398240564391017, 0.004598547704517841, 0.004074030090123415];[0.003973136655986309, 0.00334860198199749, 0.00330667058005929, 0.0030724825337529182, 0.002958540339022875, 0.002318556420505047, 0.0036014923825860023, 0.002796395216137171, 0.0032764459028840065, 0.0026396256871521473];[0.6699223061067445, 0.3289372371200968, 0.6225317377744564, 0.40767117125090346, 0.4726493408813659, 0.7742191795205687, 0.8373636876462944, 0.5751285199258571, 0.31079224732872424, 0.6594150242534622];[0.5184270856812065, 0.5229757485868441, 0.4200134870652117, 0.23409918413631747, 0.33196143918223076, 0.09479421156377721, 0.6072045262060608, 0.2850198869708255, 0.34480623570656466, 0.168507869146987];0.01;0.004146447312086821;0.0003692842102715648;0.0031291947700083254;0.00045568960948225065;0.5658630451808474;0.1717296666218058;0.3527809674246026;0.15663466370761497
0.75;['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7415.jpg', 'data/images/QS_7510.jpg'];[0.006466527935117483, 0.00841492973268032, 0.0062610977329313755, 0.006312966346740723, 0.006337130442261696, 0.0067946952767670155, 0.006466166116297245, 0.0075375232845544815, 0.006451676599681377, 0.007024132646620274];[0.0004128197324462235, 0.0006875782273709774, 2.4769593437667936e-05, 0.0005345968529582024, 0.000228647913900204, 7.942970842123032e-05, 0.00024003790167625993, 0.0002916587982326746, 0.0004457081377040595, 0.00027705953107215464];[0.7993667184156267, 0.9678044150507906, 0.8603291278876868, 0.7995352504091069, 0.8095453698418642, 0.8942870199460962, 0.8689907127276085, 0.9312961980979595, 0.8869600357197395, 0.9708177426475763];[-1.6838501669848833, -0.34687664576802146, -4271249023436.4995, -1.2831388541995499, -4.010410919742742, -21.96293648664595, -4.390697736287997, -2.9195423672681096, -2.4360426012626766, -3.1856520245329385];0.01;0.006806684611365199;0.0006547975955474905;0.0003222306397219654;0.00019182157077847297;0.8788932590744055;0.06105521636611325;-427124902347.8719;1281374707029.5425
