fraction;ti;vi;tl;vl;ta;va;lr;tl_mean;tl_std;vl_mean;vl_std;ta_mean;ta_std;va_mean;va_std
0.1;['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7415.jpg', 'data/images/QS_7510.jpg'];[0.006059281527996063, 0.005918522831052542, 0.006077723577618599, 0.005828262306749821, 0.0060674697160720825, 0.005698935594409704, 0.006116675212979317, 0.006343006622046232, 0.006251366809010506, 0.006039845757186413];[3.5629475405585254e-06, 3.5336408927832963e-06, 3.4248892006871756e-06, 3.489306664050673e-06, 3.514829359119176e-06, 3.4626971228135517e-06, 3.4995573514606804e-06, 3.5406837923801504e-06, 3.4512731872382574e-06, 3.481464091237285e-06];[0.978816747714324, 0.9789780679266231, 0.9832652938094343, 0.992742296264933, 0.9726525401481694, 0.9817372660969765, 0.9981051559804404, 0.9881805708559205, 0.9860033147200811, 0.9945470677250895];[-1233252685545.875, -1233194580077.125, -1222362060545.875, -1225412353514.625, -1228475097655.25, -1223527832030.25, -1228608886717.75, -1230571655272.4375, -1222455078124.0, -1225077392577.125];0.01;0.006040108995512128;0.00017911779566574413;3.496128920232877e-06;4.0847145781728234e-08;0.9855028321241992;0.007563330710908298;-1227293762206.0312;3931499405.9905415
0.1;['data/images/1.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg', 'data/images/4.jpg'];[0.005435816943645477, 0.00563993863761425, 0.005311110522598028, 0.00545679684728384, 0.0056731984950602055, 0.005507766269147396, 0.006102936342358589, 0.005857669748365879, 0.005490889307111502, 0.005789956543594599];[0.015339391306042671, 0.015295472927391529, 0.015346689149737358, 0.015448426827788353, 0.015488719567656517, 0.015313299372792244, 0.01510703470557928, 0.015249256044626236, 0.015288101509213448, 0.015231726691126823];[0.9810350900414162, 0.9086142456392945, 0.9573133113086356, 0.9567010140421862, 0.9829931280163892, 0.9642535410909101, 0.9018119100118571, 0.9841180462500986, 0.9659785829497911, 0.9829831677644346];[-1.0188065061740397, -1.0256494702212509, -1.0206027743793005, -1.0356877350529747, -1.0327817373122552, -0.9991762887252031, -0.9930621564678634, -1.0199610875730132, -1.0206241405088052, -1.011263221586863];0.01;0.0056266079656779764;0.0002250839802664061;0.015310811810195446;0.00010247874807495752;0.9585802037115012;0.02856430312031255;-1.0177615118001568;0.012763504815916126
0.1;['data/images/1.jpg', 'data/images/2.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/4.jpg', 'data/images/QS_7510.jpg'];[0.005090827122330666, 0.005441950634121895, 0.005202189087867737, 0.005495867691934109, 0.005347683094441891, 0.004997352138161659, 0.005109372083097696, 0.005118353292346001, 0.005039685405790806, 0.005145006347447634];[0.006332133896648884, 0.006369666196405888, 0.006204737816005945, 0.006359886843711138, 0.006328174378722906, 0.006278784945607185, 0.006404479965567589, 0.006308363284915686, 0.006348090711981058, 0.006300278473645449];[0.9277046141519925, 0.9778898805304317, 0.9715318179364302, 0.9528572213308381, 0.963050154615692, 0.9456620699885134, 0.9614252267015685, 0.9873956930612398, 0.9717087810951589, 0.9703451444013186];[0.1477903609252913, 0.15862860242559196, 0.1722041670694644, 0.1418406114702475, 0.15556155926805493, 0.15194956036456897, 0.16031576006212922, 0.16860722146257112, 0.1753583608914856, 0.15709897621743296];0.01;0.005198828689754009;0.00016262494198358913;0.006323459651321172;5.252276420630186e-05;0.9629570603813186;0.01634366036291047;0.1589355180156838;0.01010602974844096
0.25;['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7415.jpg', 'data/images/QS_7510.jpg'];[0.013518232852220535, 0.0143235232681036, 0.013080807402729988, 0.011995291337370872, 0.013339287601411343, 0.01284679677337408, 0.014808088541030884, 0.014461113139986992, 0.01208321750164032, 0.013784853741526604];[0.0015586857916787267, 0.0018679648637771606, 0.0018798216478899121, 0.0017085233703255653, 0.001697668107226491, 0.001763472449965775, 0.001543606398627162, 0.0017204547766596079, 0.001342508476227522, 0.001383293652907014];[0.9847988692516432, 0.9978378317107626, 0.9749170860880962, 0.9439185236968466, 0.9898625428382064, 0.9752241073492003, 0.991843717105629, 0.9915486917657308, 0.9845886126913972, 0.9741330646838008];[0.4179417241964113, 0.544415578327134, 0.5605853317800877, 0.49102710332926536, 0.5164728447186246, 0.5251935797407444, 0.5317172563698418, 0.5075406341841318, 0.31712398515871, 0.2210987610773587];0.01;0.013424121215939522;0.0009075554548008002;0.0016465999535284937;0.00017580937691783822;0.9808673047181313;0.014527922329801102;0.46331167988823097;0.10592238935510497
0.25;['data/images/1.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg', 'data/images/4.jpg'];[0.010366573929786682, 0.014450556598603725, 0.012491503730416298, 0.014792129397392273, 0.013317245058715343, 0.011259566061198711, 0.01207706332206726, 0.012117397040128708, 0.012226995080709457, 0.012357907369732857];[0.015579195693135262, 0.016745369881391525, 0.015704844146966934, 0.017023202031850815, 0.018383855000138283, 0.017676208168268204, 0.016476251184940338, 0.016274344176054, 0.017972432076931, 0.01870877668261528];[0.9093140662989503, 0.8418787925030785, 0.8573360396802239, 0.9043399347321849, 0.8942544172507156, 0.863446572876239, 0.9137820116637476, 0.9573483652916898, 0.9809051711259449, 0.7810157820428494];[0.6971593224889734, 0.6924941751088978, 0.7195327282415502, 0.7472994366510688, 0.7558523206779524, 0.740377963474811, 0.7363675377833716, 0.720476729825847, 0.7600035353953111, 0.7755958863405];0.01;0.012545693758875131;0.0012734118072685104;0.017054447904229164;0.0010378143326493338;0.8903621153465625;0.054704498325258144;0.7345159635988283;0.025644827596109285
0.25;['data/images/1.jpg', 'data/images/2.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/4.jpg', 'data/images/QS_7510.jpg'];[0.01335020549595356, 0.014435706660151482, 0.015387102961540222, 0.015501882880926132, 0.0127068180590868, 0.014123916625976562, 0.014447586610913277, 0.013714493252336979, 0.014323133043944836, 0.014527137391269207];[0.00912063755095005, 0.008484398946166039, 0.010045010596513748, 0.009968481957912445, 0.008446713909506798, 0.009458303451538086, 0.008451346307992935, 0.008250582963228226, 0.008310802280902863, 0.009712153114378452];[0.8202885554681968, 0.9675170873067482, 0.9638431957598241, 0.9473387179464726, 0.941654855074483, 0.937561847951276, 0.9577006243919923, 0.9231728343681269, 0.9623420031059298, 0.929954699540834];[0.7493226289999175, 0.7529473806014544, 0.7613009372837118, 0.8060046520151971, 0.6689729873861183, 0.7339277262363733, 0.7060719739858985, 0.6439368327980671, 0.6437483622553911, 0.7613270076829814];0.01;0.014251798298209906;0.0008068189207249952;0.009024843107908964;0.0006830227221436682;0.9351374420913883;0.040840117554471825;0.7227560489245111;0.05222214348588605
0.5;['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7415.jpg', 'data/images/QS_7510.jpg'];[0.013020824640989304, 0.012571517378091812, 0.011245546862483025, 0.013353604823350906, 0.01253271009773016, 0.01357512641698122, 0.013472473248839378, 0.01292414404451847, 0.013281603343784809, 0.011098074726760387];[0.0005552976508624852, 0.0002688001550268382, 0.0006549326935783029, 0.0002591269731055945, 0.00032017944613471627, 0.00017639825819060206, 0.0009360426920466125, 0.0015784981660544872, 0.00018070322403218597, 1.6289814084302634e-05];[0.9519741935540271, 0.9978793702694, 0.945766798859784, 0.9580977523901459, 0.999556432151194, 0.9664149478416454, 0.9851451007584671, 0.9919661368348308, 0.9699434308242826, 0.9569776894252272];[-1.0930452055840925, -0.9995666367044895, -0.8484570939303793, -2.626164773661857, -0.8200465726255439, -3.2704559805357123, 0.4796438344688063, 0.5397335726283565, -3.4434037295013713, -2260832031249.0];0.01;0.012707562558352948;0.0008370610590847794;0.0004946269073116127;0.0004432287749399317;0.9723721852909003;0.018822147028076136;-226083203126.10815;678249609374.2972
0.5;['data/images/1.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg', 'data/images/4.jpg'];[0.004658407997339964, 0.0068971095606684685, 0.006449520587921143, 0.007940765470266342, 0.0076089659705758095, 0.0061772605404257774, 0.008006572723388672, 0.008475974202156067, 0.008832817897200584, 0.0073133353143930435];[0.017336707562208176, 0.018545377999544144, 0.017253108322620392, 0.020728249102830887, 0.019762489944696426, 0.018952887505292892, 0.02044646069407463, 0.017437482252717018, 0.018822280690073967, 0.0209151990711689];[0.48228383994581003, 0.6537149375992815, 0.769497375772711, 0.882300728013943, 0.7356146884640998, 0.5089680191070782, 0.843124179652652, 0.8585726026973497, 0.8487084764092674, 0.7641551410698745];[0.7369334919034167, 0.7102430671929623, 0.7150540239857686, 0.7658235808468673, 0.7894806856257015, 0.694186905559522, 0.7586000330707022, 0.6831625924045235, 0.6880195074334182, 0.737460547404103];0.01;0.007236073026433587;0.0011756373077018688;0.019020024314522745;0.0013350873022934281;0.7346939988732067;0.13608484721420389;0.7278964435426986;0.03398694927682376
0.5;['data/images/1.jpg', 'data/images/2.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/4.jpg', 'data/images/QS_7510.jpg'];[0.01124446652829647, 0.011288631707429886, 0.009527577087283134, 0.011069122701883316, 0.008034059777855873, 0.010077479295432568, 0.0117399413138628, 0.00933164544403553, 0.008378548547625542, 0.00982685573399067];[0.00756702059879899, 0.007107798475772142, 0.00881359912455082, 0.00815996341407299, 0.009092831052839756, 0.010102888569235802, 0.008902611210942268, 0.007633245084434748, 0.00887922290712595, 0.007808546535670757];[0.7934053464309649, 0.8517598368193721, 0.9053185539653947, 0.9774401645995783, 0.850679023521081, 0.8745940553448075, 0.9356860471808411, 0.690741031794925, 0.8942523024430453, 0.9273685619499603];[0.7092443429153497, 0.7615119264985559, 0.7941393415302012, 0.7213057902000223, 0.7641291523298841, 0.738410970495297, 0.7096294473552788, 0.7029025800634416, 0.7522218877516184, 0.7390741676024042];0.01;0.01005183281376958;0.0012063461488081451;0.008406772697344422;0.0008597505358104837;0.870124492404997;0.0772736984845527;0.7392569606742053;0.027779949384444086
0.75;['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7415.jpg', 'data/images/QS_7510.jpg'];[0.013007061555981636, 0.008913134224712849, 0.0108589306473732, 0.012677756138145924, 0.009464140981435776, 0.010760130360722542, 0.012891460210084915, 0.012920945882797241, 0.01163782924413681, 0.010543053038418293];[4.671458555094432e-06, 0.000547054223716259, 0.0010104321409016848, 0.0004948006826452911, 0.001617963658645749, 0.0006063097389414907, 0.0015212642028927803, 0.0006325399735942483, 0.0006485841586254537, 0.0012711997842416167];[0.9756610792932136, 0.8741305288455192, 0.9727339037815391, 0.9840317820301882, 0.9246136541954053, 0.984609660025999, 0.9544457572504199, 0.9990439884400667, 0.9566650774667409, 0.924464612782331];[-1678125976561.5, 0.22239697461720176, 0.499276027548585, 0.09702932160921374, 0.9419479129542603, 0.41193931045063403, 0.8951795989816997, 0.47244245654161476, -0.30789261855868033, 0.9763974074954909];0.01;0.01136744422838092;0.001420126766006959;0.0008354820022759668;0.0004817851188611712;0.9550400044111423;0.0357763828614172;-167812597655.72916;503437792968.5903
