model_encoder;ti;vi;tl;vl;ta;va;lr;tl_mean;tl_std;vl_mean;vl_std;ta_mean;ta_std;va_mean;va_std
'resnet34';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.00646955193951726, 0.007047999184578657, 0.0068656280636787415, 0.006248719058930874, 0.006775394082069397, 0.006550925318151712, 0.005877351853996515, 0.005577847361564636, 0.006510148290544748, 0.006307120434939861];[0.02320445328950882, 0.024047251790761948, 0.024001777172088623, 0.024315245449543, 0.02510135807096958, 0.024589184671640396, 0.02625230699777603, 0.02302166447043419, 0.023608088493347168, 0.023489033803343773];[0.0027730043522551373, 0.0012933549212220674, 0.0035223255437917267, 0.004953060199389792, 0.0037485875610999697, 0.002778712180037113, 0.0006285790771898281, 0.002049119110269504, 0.002877750024391168, 0.003669134474593827];[1.4680998957850022e-05, 1.4642101918371786e-05, 1.0301829439618437e-05, 1.4013823035008421e-05, 1.3527508544997069e-05, 1.2474958227093325e-05, 1.458586611324808e-05, 1.3852937343794558e-05, 1.487259495380755e-05, 1.5317795186153838e-05];0.01;0.00642306855879724;0.00042339918773021937;0.024163036420941354;0.0009205182175366139;0.002829362744424013;0.001198336811266564;1.382704137199431e-05;1.4023351016018788e-06
'resnet34';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.007565482519567013, 0.006384723819792271, 0.007224379573017359, 0.007294707465916872, 0.0066704764030873775, 0.006925344467163086, 0.006956296972930431, 0.007014937698841095, 0.006896878592669964, 0.007295310962945223];[0.0002667988883331418, 0.000480607122881338, 0.0007487437687814236, 0.0006161690689623356, 0.0010810343082994223, 0.0005657572764903307, 0.0004428252577781677, 0.0005183997564017773, 0.0006730729946866632, 0.00025300419656559825];[0.7327289293763884, 0.8867009118234562, 0.9050036183290785, 0.8927287987628999, 0.939867330245456, 0.8938372556011617, 0.7676358561515588, 0.8615275387901018, 0.871991174712153, 0.7308816280296795];[0.706892080921423, 0.9481941504518123, 0.8358170915786554, 0.9356045123218067, 0.775351315381982, 0.9464582040958889, 0.8480619180503546, 0.9612501771023658, 0.9525112138099825, 0.7455061013633819];0.01;0.007022853847593069;0.0003231788801942144;0.0005646412639180199;0.00022909303888764848;0.8482903041821933;0.07176960030654331;0.8655646765077654;0.09160412473672462
'resnet34';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/QS_7415.jpg'];[0.006413925439119339, 0.006435370072722435, 0.006593098398298025, 0.006253453437238932, 0.006443710066378117, 0.007500558625906706, 0.006826789118349552, 0.006507161073386669, 0.0063958317041397095, 0.006447622552514076];[5.364224689441421e-12, 4.7776014915068554e-12, 5.534161670595061e-12, 4.751450968787374e-12, 5.238872703705599e-12, 5.071216883922869e-12, 5.043777027979868e-12, 5.379740056210558e-12, 5.314800682887366e-12, 5.444010693633761e-12];[0.913240186380422, 0.9093362799339677, 0.9504139095968338, 0.9193196990201454, 0.9403310861927597, 0.9892804525632616, 0.9206449033261755, 0.9629805393255157, 0.9247984474829798, 0.9280601421209899];[-37694259.478019714, -35382973.89285469, -38215684.63580513, -35486954.19566536, -37350105.98437691, -36615668.72732544, -36450958.742069244, -37740970.89307213, -37515937.28201294, -37832527.35273743];0.01;0.006581752048805356;0.0003374799790034514;5.1919856868670735e-12;2.5790248355113554e-13;0.935840564594305;0.02392595174483081;-37028604.1183939;945296.0596889983
'resnext50_32x4d';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.004998472519218922, 0.004652864299714565, 0.004444117657840252, 0.0042482465505599976, 0.004381733015179634, 0.004354809410870075, 0.004212368279695511, 0.004297664854675531, 0.005420553032308817, 0.005415230989456177];[0.015453752130270004, 0.016671011224389076, 0.016651086509227753, 0.017102442681789398, 0.015666764229536057, 0.01549067348241806, 0.016171636059880257, 0.017021875828504562, 0.01692294515669346, 0.01687854900956154];[0.8372193804305501, 0.9106708789175891, 0.938125811540971, 0.8054787315958744, 0.8032972684084185, 0.9401332304416927, 0.9818841223260016, 0.8159348336979839, 0.6613256006033164, 0.7318671739667901];[0.6370029043873106, 0.5999896950371431, 0.617317196172121, 0.598382378057903, 0.6486593158725056, 0.6404056796405273, 0.6308774832040909, 0.6016710470687485, 0.616331888640977, 0.6139154259225603];0.01;0.004642606060951948;0.0004448353234169532;0.016403073631227016;0.0006189569965912139;0.8425937031929187;0.09563287336500936;0.6204553014003886;0.017042454255177444
'resnext50_32x4d';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.010982340201735497, 0.011566870845854282, 0.011161549016833305, 0.010654324665665627, 0.011790519580245018, 0.009898930788040161, 0.011190302670001984, 0.010269854217767715, 0.01068948581814766, 0.012246863916516304];[0.0007319257128983736, 0.0007581923855468631, 0.0008649635128676891, 0.0008578912820667028, 0.0005758438492193818, 0.0006347753223963082, 0.0006285445997491479, 0.0005041600088588893, 0.0005880877142772079, 0.0004704234015662223];[4.824928990376787e-05, 2.6442238735602253e-05, 7.29352012373008e-05, 5.1685367363663026e-05, 0.0006151750796654643, 0.0006431034586790174, 0.0004127188649042379, 4.705424617146292e-05, 3.8514666888422866e-05, 2.1727830920248437e-05];[0.0010821112957927204, 0.0010297745255621882, 0.0009098086795658045, 0.0009184117850903339, 0.001435703300564084, 0.0012928194343143629, 0.0012092329019829373, 0.001748365398780316, 0.0012820021229251743, 0.001854880221436317];0.01;0.011045104172080756;0.0006711625251614009;0.0006614807789446786;0.00013041045872451377;0.00019776062444691876;0.00024216819359016068;0.0012763109666014238;0.0003080093424973738
'resnext50_32x4d';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/QS_7415.jpg'];[0.006465848069638014, 0.006575401872396469, 0.006276002153754234, 0.006225320510566235, 0.006222965195775032, 0.006861007772386074, 0.006390225142240524, 0.0060812789015471935, 0.00694581214338541, 0.006682685576379299];[5.735010244478644e-10, 6.258648044266124e-10, 6.031445343168684e-10, 5.758640231334766e-10, 5.637772471089875e-10, 5.438444139471699e-10, 6.152864884256815e-10, 5.939277958333378e-10, 6.251642536980739e-10, 5.64040703032731e-10];[0.9613833560461008, 0.8933855602424513, 0.9493463386446234, 0.8933076423289532, 0.8874507845716137, 0.8694832925858795, 0.847170684159822, 0.9114311789944095, 0.8869160893048877, 0.9508331599045847];[-940734385.4440918, -1093018292.3807373, -1028922318.4122313, -961242436.3626708, -943006156.875061, -892952202.7506104, -1051656006.7667235, -997590838.8628234, -1084440230.3232422, -949698327.9718628];0.01;0.006472654733806848;0.00027414836805690206;5.884415288370803e-10;2.7000058331051816e-11;0.9050708086783326;0.035777010166678974;-994326119.6150055;64205624.90137401
'timm-resnest50d';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.0039171697571873665, 0.0038947132416069508, 0.003525360021740198, 0.003974070772528648, 0.003880030708387494, 0.003425214672461152, 0.003281394485384226, 0.003320074174553156, 0.004068542271852493, 0.003579275216907263];[0.012966026552021503, 0.013222085312008858, 0.014090078882873058, 0.013947498984634876, 0.012799168936908245, 0.013159453868865967, 0.013925231993198395, 0.014187933877110481, 0.013713357038795948, 0.013174140825867653];[0.8560301268005546, 0.8390227809824383, 0.8419530047013803, 0.8381074170941385, 0.8732075838808752, 0.8908073281067375, 0.8899437725265988, 0.9720728136548682, 0.9050890145179994, 0.9146581028012432];[0.7784504910201883, 0.758694512737063, 0.7632493218199826, 0.7666067124683705, 0.7818828259790019, 0.7615302956579548, 0.7707873162367365, 0.7552734431804208, 0.7610141669074574, 0.7607239648618088];0.01;0.0036865845322608948;0.0002769079691530517;0.0135184976272285;0.00048169570946696014;0.8820891945066833;0.039978071413855856;0.7658213050868985;0.008239628613518932
'timm-resnest50d';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.006744745187461376, 0.0059731099754571915, 0.006474103778600693, 0.006221923977136612, 0.005838549695909023, 0.005514822900295258, 0.005654806271195412, 0.006243841722607613, 0.006669091526418924, 0.005822855047881603];[0.0004633619973901659, 0.0004478076589293778, 0.0005371650913730264, 0.0005505190929397941, 0.0005743892979808152, 0.0006903840694576502, 0.001027991995215416, 0.0007352388929575682, 0.00048657655133865774, 0.0006114801508374512];[0.8337627372703197, 0.9513853398993418, 0.9111312143882977, 0.9547044121784471, 0.9433117804455785, 0.8921833329800737, 0.9889811459316898, 0.9505462863208931, 0.7968911061568823, 0.8861135336593843];[0.9897036871428837, 0.7398135333426081, 0.7522715368832159, 0.7816750442945826, 0.8959415263221938, 0.7625061182329337, 0.7911972095608129, 0.8241166318055049, 0.7934509027881758, 0.7697748312286892];0.01;0.006115785008296371;0.00040180539448374095;0.0006124914798419923;0.00016430375358858309;0.9109010889230909;0.05673607962905536;0.81004510216016;0.07310320738313696
'timm-resnest50d';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/QS_7415.jpg'];[0.0055177886970341206, 0.006033284589648247, 0.00660867802798748, 0.006023476831614971, 0.005668423138558865, 0.0057095917873084545, 0.00632069818675518, 0.005601676180958748, 0.006487678736448288, 0.005647028796374798];[5.726426479668589e-07, 6.3858681187412e-07, 5.820253932142805e-07, 6.060069495106291e-07, 5.399892870627809e-07, 6.792013209633296e-07, 6.05649233875738e-07, 6.338916023196361e-07, 6.675135182376835e-07, 5.478015623339161e-07];[0.9994146687199471, 0.928470064887444, 0.9278391222620985, 0.9672061738978693, 0.9917261828628163, 0.9815611071967683, 0.9557029505922835, 0.9740649938891525, 0.9406455473347687, 0.9612983090404752];[-349837280272.4375, -355912261961.8906, -328791717528.2969, -350667419432.59375, -342093200682.59375, -365654296874.0, -349365814207.9844, -369818878172.8281, -355209533690.40625, -373930419920.875];0.01;0.0059618324972689155;0.00037527545653348794;6.073308327358973e-07;4.5162558725936105e-08;0.9627929120683625;0.023706331418109836;-354128082274.3906;12709745195.113386
'timm-res2net50_26w_4s';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.004105459898710251, 0.004107224754989147, 0.003655610838904977, 0.004014487843960524, 0.004534094128757715, 0.004173787776380777, 0.00367943337187171, 0.004090116359293461, 0.004524135030806065, 0.004255112260580063];[0.014465494081377983, 0.014635337516665459, 0.013898909091949463, 0.01404222846031189, 0.013962159864604473, 0.014300012961030006, 0.014338325709104538, 0.014008581638336182, 0.013942856341600418, 0.014649011194705963];[0.8969658305628005, 0.7865881324359303, 0.7749711552567939, 0.8363410081235911, 0.8482736626798149, 0.8336329712045858, 0.7716637205301411, 0.7556603350923841, 0.8654343306585839, 0.8013249348974593];[0.7069770590092249, 0.7041319083989052, 0.702317921017189, 0.7073781768809078, 0.7189291899201228, 0.7284839440994271, 0.7197065032561161, 0.7119378485495158, 0.7173994721326087, 0.7220826214253222];0.01;0.004113946226425469;0.000278879499416111;0.014224291685968638;0.00027563236776984945;0.8170856081442086;0.04373106828381848;0.7139344644689339;0.008214382944424921
