model_encoder;ti;vi;tl;vl;ta;va;lr;tl_mean;tl_std;vl_mean;vl_std;ta_mean;ta_std;va_mean;va_std
'resnet152';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.005818324629217386, 0.006587956566363573, 0.006199309602379799, 0.006536285392940044, 0.007496951147913933, 0.00621474115177989, 0.0062584178522229195, 0.006620009429752827, 0.005733925383538008, 0.0060819778591394424];[0.0235523022711277, 0.02460305765271187, 0.024647101759910583, 0.024844195693731308, 0.023438846692442894, 0.023095406591892242, 0.02375248819589615, 0.023498989641666412, 0.02525865100324154, 0.02496451884508133];[0.0015782140958866542, 0.0008900981194768232, 0.0009650560085330273, 0.0026103258899822235, 0.002575052892493046, 0.0022643027689627226, 0.0010001204369247674, 0.0009620969421336723, 0.003437501860463099, 0.003136338589416088];[0.00030647934712546565, 0.0003162591754649613, 0.00029838800417780753, 0.00030602330501205977, 0.00030761757508068754, 0.0003081110998008896, 0.000310658167761102, 0.0003052496864460741, 0.0003141631075701534, 0.00029009601191631873];0.01;0.006354789901524782;0.00047570479439186416;0.024165555834770203;0.0007335793203902064;0.0019419107604272123;0.0009303155036262226;0.00030630454803555197;7.151251179668893e-06
'resnet152';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.005163461901247501, 0.005405202507972717, 0.004142525140196085, 0.0045702457427978516, 0.005466074217110872, 0.005203949753195047, 0.005145988427102566, 0.0050185006111860275, 0.0047742510214447975, 0.005281358957290649];[0.01048361323773861, 0.011646715924143791, 0.010930076241493225, 0.010294197127223015, 0.010230890475213528, 0.009730594232678413, 0.010625623166561127, 0.010796640068292618, 0.010626718401908875, 0.010077949613332748];[0.8786815492744802, 0.8681475263365692, 0.9567324838466748, 0.9309159274114269, 0.9213262649710354, 0.8649428197885335, 0.8529412785892303, 0.9586807749712495, 0.966231526564731, 0.9176818910286882];[0.7976563107317811, 0.7786485616877105, 0.7488651069911613, 0.8203163800522842, 0.780534141096736, 0.7494993472578797, 0.7631303225766863, 0.7929402578557718, 0.7456008113381076, 0.7557992757390453];0.01;0.005017155827954411;0.000389681733391533;0.010544301848858595;0.0004985263842526282;0.911628204278262;0.04041325379012421;0.7732990515327164;0.023687396022458163
'resnet152';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.005756225436925888, 0.006564623676240444, 0.005504039581865072, 0.005808573216199875, 0.00627480074763298, 0.005470493342727423, 0.005841286852955818, 0.005713336635380983, 0.005748160183429718, 0.005982002709060907];[0.0006121035548858345, 0.0004656062228605151, 0.0003731119795702398, 0.000891481526196003, 0.00044146995060145855, 0.0007783645996823907, 0.0004023499204777181, 0.000558932893909514, 0.0006556810112670064, 0.0006362739368341863];[0.9895649667689562, 0.9187677159304489, 0.998115080084456, 0.9976070159883709, 0.9914113869436179, 0.9900592324408864, 0.9962791920056151, 0.9149253186938914, 0.9700795220217826, 0.9943239678400215];[0.6796880317819636, 0.7208743237012673, 0.8320706325279188, 0.6560412986222757, 0.7482620604250549, 0.6805936794080553, 0.8464650293860467, 0.705346707297646, 0.7343111900819334, 0.58506630572641];0.01;0.005866354238241911;0.00031768548617668507;0.0005815375596284866;0.0001591707139794264;0.9761133398718046;0.030598544340127876;0.7188719258958571;0.0743204364138249
'resnet34';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.0045413607731461525, 0.0045152995735406876, 0.00372714689001441, 0.0037089278921484947, 0.0048891473561525345, 0.004301195032894611, 0.004753960762172937, 0.003957450855523348, 0.0043718889355659485, 0.004873129539191723];[0.015492839738726616, 0.015674103051424026, 0.01580640859901905, 0.015499847941100597, 0.015870818868279457, 0.0167235117405653, 0.015422029420733452, 0.015738679096102715, 0.015256611630320549, 0.015466529875993729];[0.7580183630152999, 0.8874655594793628, 0.962949020212202, 0.8635839924801099, 0.9365335228291759, 0.847721161423941, 0.8513415326395479, 0.9051628359056436, 0.8440427702336512, 0.7874838491279786];[0.5748664954409288, 0.5812585805994288, 0.5744153331637238, 0.5883584602055025, 0.5726979141561996, 0.5643567364978216, 0.5974366411129253, 0.5796074097664154, 0.5766274759397402, 0.5809195288379942];0.01;0.004363950761035085;0.00041777992606172596;0.01569513799622655;0.00038747308306968014;0.8644302607346912;0.05933440066198762;0.5790544575720681;0.008570244645950626
'resnet34';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.007518057711422443, 0.007040216121822596, 0.007325546815991402, 0.00777128292247653, 0.007829724811017513, 0.008049588650465012, 0.008239571936428547, 0.007616851478815079, 0.008156988769769669, 0.007699869107455015];[0.016344578936696053, 0.016830088570713997, 0.017412381246685982, 0.018660709261894226, 0.01784062758088112, 0.01801007241010666, 0.01809397153556347, 0.018031612038612366, 0.01747697778046131, 0.016916237771511078];[5.988621368435698e-05, 4.731436237426223e-05, 1.034757504969619e-05, 0.0004245941351900262, 0.0008583038101543927, 0.0007859574051459761, 1.6110989077167126e-05, 6.513114379702589e-05, 1.4430434703394113e-05, 0.0006499218617361802];[1.382659310378287e-07, 1.1667689836514228e-07, 1.2778412339375933e-07, 1.177559391107863e-07, 1.2155926554235919e-07, 1.1288912105111848e-07, 1.1337804683986263e-07, 1.1556478418661698e-07, 1.2478450950315079e-07, 1.0111658665934442e-07];0.01;0.007724769832566381;0.000354049405222687;0.017561725713312624;0.0006673473215218037;0.0002931997930912478;0.0003328774308413009;1.1897752056899691e-07;9.464951809561388e-09
'resnet34';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.011721914634108543, 0.010576617904007435, 0.0107891745865345, 0.010224265977740288, 0.010592622682452202, 0.010238297283649445, 0.010408391244709492, 0.010184349492192268, 0.010954011231660843, 0.009952334687113762];[0.0004063753585796803, 0.0007202039705589414, 0.0004964397521689534, 0.0007322650635614991, 0.0006602808716706932, 0.0007736178813502192, 0.0005666883662343025, 0.0007573897019028664, 0.0004290460201445967, 0.0005064322613179684];[0.017069752344752165, 0.01849022814264889, 0.014247278488607185, 0.019880566251720744, 0.017027499730556173, 0.015486198172278476, 0.0012908593162872517, 0.012527307674825128, 0.025721105186569004, 0.015459558244337757];[8.932821333362817e-05, 6.321986277069147e-05, 0.00025684635318512505, 0.0001895157933247127, 1.0459960676501012e-06, 0.00020028790313675326, 2.154192323078341e-06, 0.0003532281669275106, 0.00047283921798169093, 0.0003839771771073641];0.01;0.010564197972416877;0.00048047281356552085;0.0006048739247489721;0.00013325128037735775;0.015720035355258278;0.005909507207725784;0.00020124428761582048;0.00015645333110459104
'timm-efficientnet-b5';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.0033755162730813026, 0.0036160103045403957, 0.003592371242120862, 0.003600254189223051, 0.0035475122276693583, 0.003130923490971327, 0.0028330886270850897, 0.004026495851576328, 0.0034525091759860516, 0.003339003771543503];[0.012513304129242897, 0.012756419368088245, 0.012106851674616337, 0.01253462303429842, 0.01203276589512825, 0.01276260707527399, 0.012746590189635754, 0.012138418853282928, 0.012988908216357231, 0.013224394991993904];[0.9620465404803928, 0.9497031229103914, 0.999935540979428, 0.9538209009703816, 0.9326588650711752, 0.9926973808587621, 0.8944146436733459, 0.9016259050080778, 0.9079614157697204, 0.9525938213624032];[0.7253715126184848, 0.7260358414612247, 0.7457412603420253, 0.7366884680804906, 0.74788014084382, 0.7383056624000652, 0.7326342046134628, 0.7449250180154733, 0.7215039811870072, 0.7173857928563749];0.1;0.003451368515379727;0.00030207721383432735;0.012580488342791796;0.000374099679184646;0.944745813708408;0.0342123321994146;0.7336471882418429;0.010228977118000016
'timm-efficientnet-b5';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.00445565115660429, 0.0038188030011951923, 0.004121285863220692, 0.004320106469094753, 0.004158998839557171, 0.003958850633352995, 0.0034771347418427467, 0.003960710484534502, 0.0040879929438233376, 0.003728715004399419];[0.0080191008746624, 0.008988045156002045, 0.008299116045236588, 0.007858449593186378, 0.007695299107581377, 0.008562309667468071, 0.00797620415687561, 0.00840544980019331, 0.00826387107372284, 0.008080125786364079];[0.9667378219499365, 0.9594972175587401, 0.9611640014294468, 0.9861957961448828, 0.9897699792364947, 0.9453153758666909, 0.9890412167974891, 0.9738775075274425, 0.9538937384515064, 0.9555329075579008];[0.9458696479600484, 0.927878984674232, 0.8446442104477467, 0.9274909411170423, 0.9372969740854966, 0.9726860570059801, 0.9146487261182773, 0.9043690762700298, 0.9207629458686668, 0.9061681636341405];0.1;0.0040088249137625095;0.0002720466692692788;0.00821479712612927;0.00035703859871851076;0.9681025562520531;0.015072558424312727;0.920181572718166;0.0316314182802918
'timm-efficientnet-b5';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.004648473113775253, 0.005146380048245192, 0.004850255325436592, 0.00560553977265954, 0.005509095266461372, 0.005580467637628317, 0.005291784182190895, 0.005425065290182829, 0.005457066930830479, 0.00527442991733551];[0.0005109086050651968, 0.0006788504542782903, 0.00034793984377756715, 0.0005227737128734589, 0.0007922114455141127, 0.0004173226188868284, 0.0004730581713374704, 0.0006521446048282087, 0.0007647768361493945, 0.00037549063563346863];[0.908273247439227, 0.9640350474702087, 0.906818694858232, 0.9164574306105404, 0.9803790481442888, 0.9568303607524927, 0.9367252025601729, 0.9871210769215034, 0.9899372695656691, 0.913947699364199];[0.9614653425217152, 0.9827910582499036, 0.6256957486311803, 0.707941696375114, 0.9487721354872843, 0.7964464289794912, 0.839432493039841, 0.8823224062870832, 0.9041496320523384, 0.769373850157371];0.1;0.005278855748474598;0.0003004423417017452;0.0005535476928343996;0.00015125479748193585;0.9460525077686534;0.03192255540699191;0.8418390791781324;0.1109495510662701
'timm-mobilenetv3_large_100';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.004003017675131559, 0.0037803843151777983, 0.003811298869550228, 0.0038797720335423946, 0.0031620084773749113, 0.0035139229148626328, 0.004080093465745449, 0.0036001447588205338, 0.003695758292451501, 0.0039000813849270344];[0.01317827682942152, 0.012178855016827583, 0.013292957097291946, 0.01258176937699318, 0.01336686871945858, 0.013383064419031143, 0.012968691065907478, 0.013365697115659714, 0.012990647926926613, 0.012720348313450813];[0.9014443498750132, 0.9851395548596842, 0.9438237420133484, 0.9911976452754225, 0.9817786216882737, 0.9741524247000074, 0.9920862699628805, 0.9625099788734574, 0.9878150116756196, 0.9139652306459148];[0.778460850468871, 0.7813798308398208, 0.7568490194449464, 0.7681875752625701, 0.7739582541693248, 0.7536215281821333, 0.7733231846504256, 0.7573189743426632, 0.8019803560167829, 0.7779174925646469];0.2;0.003742648218758404;0.0002536435078892307;0.013002717588096856;0.0003822390268644526;0.9633912829569621;0.03127941949261202;0.7722997065942185;0.013658832863626246
