model_encoder;ti;vi;tl;vl;ta;va;lr;tl_mean;tl_std;vl_mean;vl_std;ta_mean;ta_std;va_mean;va_std
'resnet152';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.00574973039329052, 0.005306047387421131, 0.00841868482530117, 0.007129210978746414, 0.0061205290257930756, 0.007435191422700882, 0.005608670879155397, 0.004637480713427067, 0.004815744701772928, 0.006521489471197128];[0.02548564225435257, 0.020609870553016663, 0.02250276878476143, 0.024597711861133575, 0.024769915267825127, 0.02360226958990097, 0.022617828100919724, 0.02520134299993515, 0.022531095892190933, 0.018420321866869926];[0.005914235085440311, 0.00510737581947629, 0.0021137161530431214, 0.0037286166065242377, 0.002650717176660211, 0.002771124385958279, 0.0023451246454927466, 0.003054542917522385, 0.002591971169294216, 0.0024285740821279322];[0.0001277449580783241, 0.00017575971437011617, 0.00014838669129058069, 0.00014906685176885315, 0.00016322014524539075, 0.00014302095056240027, 0.00015734591673366438, 0.00014807747961376183, 0.0001585833251805946, 0.00018870409775584296];0.01;0.006174277979880571;0.0011455977266651676;0.023033876717090607;0.0021061861239303147;0.003270599804153973;0.0012090149692126093;0.00015599101305995288;1.6297912547434532e-05
'resnet152';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.005302029196172953, 0.005427091382443905, 0.004803173243999481, 0.005860501900315285, 0.005510108545422554, 0.004584998358041048, 0.006168151739984751, 0.006045280024409294, 0.0052145859226584435, 0.004114679992198944];[0.011370765045285225, 0.010182857513427734, 0.01033374760299921, 0.010585397481918335, 0.011217014864087105, 0.009871788322925568, 0.009267039597034454, 0.010614602826535702, 0.010944392532110214, 0.01151462085545063];[0.7610239098335612, 0.5912797883266527, 0.6750325991424146, 0.5799454332658128, 0.634387221060558, 0.9331964841455406, 0.5188776137753438, 0.7057351947291777, 0.8950470295506192, 0.8442259912336725];[0.9618790582354865, 0.9626282934660317, 0.9752274855190942, 0.988739887984929, 0.9801977695333318, 0.967942665371105, 0.922126014085655, 0.9007750975717524, 0.9549677174490017, 0.9396978238028075];0.01;0.0053030600305646654;0.0006207933390251816;0.010590222664177418;0.0006694302063374312;0.7138751265063353;0.1337997045039595;0.9554181813019195;0.025901605292346138
'resnet152';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.007599309086799622, 0.006927492097020149, 0.006539885886013508, 0.006311194039881229, 0.005200383719056845, 0.0066860513761639595, 0.007322017103433609, 0.005512930452823639, 0.00597793934866786, 0.007736505940556526];[0.0009206617251038551, 0.0003659205394797027, 0.0005204353365115821, 0.0009788053575903177, 0.0011952572967857122, 0.00060654227854684, 0.0009589062537997961, 0.00041713714017532766, 0.00019828957738354802, 0.0006139556644484401];[0.6900563923240401, 0.804880867588106, 0.9687982069453156, 0.721605876084749, 0.9853206294269234, 0.8431177754547317, 0.943885804162498, 0.9285814583952718, 0.8718312041453865, 0.9016992516969584];[0.1287109023264179, 0.2990311227428868, 0.21644770062170404, 0.31367170556778123, 0.21361917519802742, 0.22887448114343367, 0.16585663410003038, 0.25370244705425693, 0.1642462025370044, 0.13782523844695738];0.01;0.006581370905041695;0.0008085410663786704;0.0006775911169825122;0.0003042088025628505;0.865977746622398;0.09600047739178942;0.21219856097385;0.06066795544528148
'timm-efficientnet-l2';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.0029723383486270905, 0.0024471732322126627, 0.0027439831756055355, 0.0032980088144540787, 0.003036427777260542, 0.0031192416790872812, 0.0027279709465801716, 0.003261466044932604, 0.0029948807787150145, 0.0035814037546515465];[0.011741687543690205, 0.010503496043384075, 0.012051794677972794, 0.010212227702140808, 0.013089081272482872, 0.011307787150144577, 0.010062322951853275, 0.013054881244897842, 0.011565037071704865, 0.011213306337594986];[0.9310291986324944, 0.9306454766699823, 0.9965515504972272, 0.9007682792630735, 0.9405657053256435, 0.9297184183428648, 0.947921631117293, 0.8174181804579751, 0.8788584027591458, 0.8844047241231076];[0.7589462035529373, 0.7540294241748362, 0.7333709069565206, 0.7533155850448173, 0.7292218801615118, 0.7673349578507861, 0.784320226181369, 0.7602404610240101, 0.74319769144451, 0.757180746669423];0.01;0.0030182894552126527;0.00030876493003235175;0.01148016219958663;0.0010071470402237127;0.9157881567188808;0.0458990957291136;0.7541158083060722;0.015255170913353785
'timm-efficientnet-l2';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.004898173734545708, 0.00391239020973444, 0.0047353883273899555, 0.004615235608071089, 0.005197751801460981, 0.004692926071584225, 0.00457475520670414, 0.0033047990873456, 0.005029062740504742, 0.004746223799884319];[0.007593839429318905, 0.00847785733640194, 0.008330617100000381, 0.00981768500059843, 0.010595852509140968, 0.00827179104089737, 0.007948093116283417, 0.010499248281121254, 0.008216539397835732, 0.009591336362063885];[0.8819487684331366, 0.8710817030740278, 0.76520527000677, 0.7859113021667412, 0.8983532182238002, 0.8079151468942053, 0.8262210143595493, 0.927996406001929, 0.9035985235061115, 0.9715570523179217];[0.9900142558576286, 0.9254176981460531, 0.9310066068816434, 0.9821882122183004, 0.9639975039643862, 0.9610019066422781, 0.9430324149252347, 0.972130868308266, 0.9933090943589209, 0.9921985063473195];0.01;0.00457067065872252;0.0005311568722696086;0.008934285957366228;0.0010352871878110468;0.8639788404984191;0.06262232540219113;0.9654297067650031;0.02394407640457714
'timm-efficientnet-l2';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.009761560708284378, 0.010810572654008865, 0.0127335786819458, 0.011227571405470371, 0.01144498959183693, 0.012371341697871685, 0.012994627468287945, 0.008041372522711754, 0.012761619873344898, 0.010904833674430847];[0.0007492832373827696, 0.0014610575744882226, 0.0011769455159083009, 0.0002105005260091275, 0.0008841975359246135, 0.0007184533751569688, 0.0007980646914802492, 0.00016415712889283895, 0.000812374462839216, 0.0007514567114412785];[1.1496385509124352e-06, 1.1408938367374333e-05, 4.487727081281534e-06, 1.7651872862289864e-06, 2.6290741930168338e-06, 2.8618814141845306e-06, 1.8867023623414525e-06, 3.40367248385931e-06, 4.627368057064096e-06, 2.5309766762404706e-06];[1.4553735691036351e-06, 1.6352747984615945e-06, 1.6890600600394379e-06, 3.835497467852278e-06, 2.83189109651083e-06, 1.2009545645730313e-06, 1.2923092984618023e-06, 5.916816024020832e-06, 1.2239998333773983e-06, 1.5187545142625325e-06];0.01;0.011305206827819348;0.0014703114158486344;0.0007726490759523586;0.00036636521199009904;3.6751166472503983e-06;2.788219985308735e-06;2.2599931226663373e-06;1.4569137434943314e-06
'timm-efficientnet-b8';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.003931565210223198, 0.003812088631093502, 0.0034485873766243458, 0.004704945255070925, 0.003926368895918131, 0.004124445375055075, 0.004719066433608532, 0.0058788275346159935, 0.0038977889344096184, 0.004544730763882399];[0.015890151262283325, 0.015514231286942959, 0.015373622998595238, 0.015360580757260323, 0.015354907140135765, 0.014398932456970215, 0.015084635466337204, 0.013276266865432262, 0.014832645654678345, 0.013904359191656113];[0.8399552452919826, 0.8040002877922436, 0.8949749352692636, 0.6957592105697135, 0.9139058559055162, 0.9935318321714867, 0.7847215289257088, 0.7219072921283338, 0.8948999798983492, 0.8090649431032391];[0.5916828972439943, 0.5684322470062264, 0.5928944963657801, 0.5982712793543101, 0.5883177663261213, 0.6180404590653359, 0.5809863306849132, 0.6374637150395385, 0.5881019331765716, 0.6160194029449964];0.01;0.0042988414410501715;0.000657500719898872;0.014899033308029174;0.0007693224027353259;0.8352721111055837;0.08654870442314958;0.5980210527207788;0.019248841882286167
'timm-efficientnet-b8';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.003990816418081522, 0.0034819538705050945, 0.004512301646173, 0.004077351186424494, 0.003673945087939501, 0.004751162603497505, 0.0040574814192950726, 0.00433650566264987, 0.004026438109576702, 0.004230641759932041];[0.009592339396476746, 0.00907779112458229, 0.008716979064047337, 0.008285241201519966, 0.009529612958431244, 0.008479924872517586, 0.009005572646856308, 0.008092760108411312, 0.00976624246686697, 0.009450430050492287];[0.9522807049173175, 0.8759253095309751, 0.9449904776994481, 0.9845046123175824, 0.9146491088001639, 0.9995886936969133, 0.9467188725625741, 0.994818960218356, 0.9801567487086625, 0.936194160223065];[0.9198928797904173, 0.9142835456321657, 0.8121174443188369, 0.9630540818817649, 0.8798014763608688, 0.9184058699709418, 0.9396095916253343, 0.9179647191150389, 0.9043354467285061, 0.7281760655659396];0.01;0.00411385977640748;0.00035330491909012636;0.008999689389020205;0.0005578526232569312;0.9529827648675058;0.03667044566602347;0.8897641120989814;0.06590283832802404
'timm-efficientnet-b8';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.006768425460904837, 0.005563793703913689, 0.005127662792801857, 0.004368600435554981, 0.0060059125535190105, 0.005649779923260212, 0.006843422539532185, 0.006323234643787146, 0.004496242851018906, 0.0055450499057769775];[0.0002912584168370813, 0.00022674021602142602, 0.000788763863965869, 0.0008536759996786714, 0.0009943401673808694, 0.00023677946592215449, 0.0003473172546364367, 0.0005826288252137601, 0.00035219674464315176, 0.0005057059461250901];[0.9166251435210288, 0.9666813695954964, 0.9964271940703641, 0.8695498267658666, 0.9712882814901467, 0.889465879298534, 0.9651135331891553, 0.969689915283529, 0.8857938871163531, 0.9984719018318547];[-0.34961260729281785, -0.6923110766008036, 0.7808156775914338, 0.8954271046252137, 0.6808535763528238, -0.5956688185909571, -0.3571160715991957, 0.23414134065237258, -0.6541674961574118, 0.1846324036760124];0.01;0.00566921248100698;0.0008072039992066054;0.0005179406900424511;0.000262520801198722;0.9429106932162329;0.04552242710855753;0.012699403265667032;0.5894179249892403
'timm-mobilenetv3_large_100';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.0034905371721833944, 0.004024449735879898, 0.003364087548106909, 0.0032232655212283134, 0.004408998414874077, 0.003442769404500723, 0.0033726971596479416, 0.0034519354812800884, 0.0028916234150528908, 0.0036306879483163357];[0.01332060806453228, 0.012913692742586136, 0.01282542198896408, 0.013470390811562538, 0.015051892958581448, 0.011553939431905746, 0.013095689006149769, 0.012511404231190681, 0.012832622975111008, 0.012332512065768242];[0.9086113129169178, 0.9975501656451864, 0.9875978967627909, 0.937610162995628, 0.992428063818375, 0.9169619998979226, 0.9711247939937758, 0.9980942985772445, 0.9953370124165972, 0.986669370885658];[0.7129593451021462, 0.7567459511979657, 0.7423808634528204, 0.7355150342956251, 0.6921117840089595, 0.7406383256490605, 0.749921937430831, 0.765100632533478, 0.7356920773371483, 0.7511211663379667];0.2;0.0035301051801070573;0.00039954963365969093;0.012990817427635193;0.0008592981774092146;0.9691985077910095;0.03302480967751667;0.7382187117346002;0.020420801338150305
